companyId,companyFullName,adWord,linestaion,companyShortName,positionId,industryField,education,workYear,city,positionAdvantage,createTime,salary,positionName,companySize,financeStage,companyLogo,jobNature,approve,companyLabelList,publisherId,score,district,positionLables,industryLables,businessZones,longitude,latitude,hitags,resumeProcessRate,resumeProcessDay,imState,lastLogin,explain,plus,pcShow,appShow,deliver,gradeDescription,promotionScoreExplain,firstType,secondType,isSchoolJob,subwayline,stationname,formatCreateTime
146798,广州市百果园网络科技有限公司,0,7号线_南村万博,Bigo,4684676,"移动互联网,社交网络",硕士,不限,广州,"大牛同事,技术分享,技术讨论,技术深研",2018-06-20 14:03:47,20k-40k,移动端机器学习优化工程师（广州）,500-2000人,D轮及以上,i/image2/M00/15/2B/CgoB5lny-TCAXyITAACiB6UnOYg011.png,全职,1,"年底双薪,五险一金,年终奖,班车接送",4750911,0,番禺区,"高级,C/C++,客户端,C++,算法,算法工程移植",,大石,113.349112,23.007024,,100,3,threeDays,1529575588000,,,0,0,0,,,开发/测试/运维类,后端开发,0,7号线,南村万博,3天前发布
188507,广州虎牙信息科技有限公司,0,,虎牙信息,4659021,"社交网络,游戏",硕士,3-5年,广州,"弹性工作,千万级用户,发展空间大",2018-05-31 16:41:03,25k-35k,机器学习算法工程师（安全）,500-2000人,B轮,i/image3/M00/26/82/CgpOIFqYuLWALKzWAAFLawjv7b8596.jpg,全职,1,"五险一金,年底双薪,午餐补助,带薪年假",8677173,0,番禺区,图像处理,,,39.89744500000001,116.331398,,62,0,today,1529664437000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,2018-05-31
451,腾讯科技(深圳)有限公司,0,3号线_客村;3号线_广州塔;8号线_客村;8号线_赤岗,腾讯,4646487,"移动互联网 ,游戏",本科,不限,广州,"技术大牛多,福利好",2018-06-21 14:55:24,20k-40k,微信推荐机器学习算法工程师（北京）,2000人以上,上市公司,image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg,全职,1,"免费班车,成长空间,年度旅游,岗位晋升",845597,0,海珠区,"搜索,数据挖掘,NLP",,,113.323751,23.097487,"免费班车,年轻团队,学习机会,Mac办公,定期团建,开工利是红包",95,2,today,1529641130000,,,0,0,0,,,开发/测试/运维类,数据开发,0,8号线,客村,2天前发布
88409,广州华资软件技术有限公司,0,5号线_员村;5号线_科韵路,华资软件,4698086,"移动互联网,数据服务",本科,3-5年,广州,"技术前沿,股权激励,加班费,14薪+",2018-06-20 12:28:47,10k-20k,软件工程师（AI、机器学习、深度学习）,500-2000人,上市公司,i/image3/M00/50/60/CgpOIFr45QuALHpbAABO8AJgrn8609.png,全职,1,"培训伴你始终,入户广州,国内外旅游,专业机构体检",2270367,0,天河区,"大数据,算法",,"棠下,天河公园,天园",113.37135,23.126341,,0,0,disabled,1529683852000,,,0,0,0,,,开发/测试/运维类,数据开发,0,5号线,科韵路,3天前发布
23403,深圳市长亮科技股份有限公司,0,,长亮科技,4103831,企业服务,硕士,5-10年,广州,"金融科技,学习环境,提升空间,大平台",2018-06-09 03:43:21,15k-30k,金融、互联网 数据分析挖掘 机器学习咨询专家,2000人以上,上市公司,image1/M00/00/2E/Cgo8PFTUXHuAdSGnAAA3nDobqHw398.jpg,全职,1,"五险一金,通讯津贴,带薪年假,定期体检",5501327,0,天河区,,,,0.0,0.0,,0,0,today,1529689669000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,2018-06-09
451,腾讯科技(深圳)有限公司,0,3号线_客村;3号线_广州塔;8号线_客村;8号线_赤岗;APM线_海心沙,腾讯,4733327,"移动互联网 ,游戏",硕士,1-3年,广州,发展前景好,2018-06-20 21:29:53,15k-30k,WXG08-122 微信推荐机器学习算法工程师,2000人以上,上市公司,image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg,全职,1,"免费班车,成长空间,年度旅游,岗位晋升",2750954,0,海珠区,,,"客村,新港,赤岗",113.325553,23.098929,"免费班车,年轻团队,学习机会,Mac办公,定期团建,开工利是红包",0,0,disabled,1529687191000,,,0,0,0,,,开发/测试/运维类,数据开发,0,APM线,客村,3天前发布
159990,北京创数纪信息技术有限责任公司,0,1号线_体育中心;3号线_石牌桥;3号线_岗顶;3号线_华师;3号线(北延段)_林和西;APM线_林和西,创数纪,4444383,"移动互联网,数据服务",本科,1-3年,广州,"五险一金,定期体检,弹性工时,晋升空间大",2018-06-22 10:32:56,10k-20k,机器学习工程师,15-50人,天使轮,i/image/M00/79/17/Cgp3O1g8-GCAKzo9AADNEOa9_hg730.png,全职,0,"大数据,五险一金,职位晋升,弹性工作",6562475,0,天河区,"数据挖掘,数据分析,算法",,,113.33822,23.139324,,100,1,today,1529636220000,,,0,0,0,,,开发/测试/运维类,数据开发,0,APM线,石牌桥,1天前发布
146798,广州市百果园网络科技有限公司,0,7号线_南村万博,Bigo,4590259,"移动互联网,社交网络",硕士,1-3年,广州,"晋升空间,技术交流,技术深研,氛围超好",2018-06-20 14:03:48,20k-40k,音频算法工程师（机器学习方向）-广州,500-2000人,D轮及以上,i/image2/M00/15/2B/CgoB5lny-TCAXyITAACiB6UnOYg011.png,全职,1,"年底双薪,五险一金,年终奖,班车接送",4750911,0,番禺区,"高级,深度学习,语音处理,语音识别",,大石,113.349112,23.007024,,100,3,threeDays,1529575588000,,,0,0,0,,,开发/测试/运维类,数据开发,0,7号线,南村万博,3天前发布
62231,广州群友信息科技有限公司,0,3号线_大石,群友科技,3850496,"移动互联网,企业服务",本科,1-3年,广州,"年终双薪,弹性工作,高速成长,五险一金",2018-06-19 10:00:31,10k-20k,机器学习工程师,15-50人,天使轮,image1/M00/26/8E/Cgo8PFVVwByALOIMAAAy-CcHoY0287.jpg,全职,1,"节日礼物,绩效奖金,年度旅游,岗位晋升",1560051,0,番禺区,"数据分析,数据挖掘,深度学习,大数据,自然语言处理",,大石,113.315761,23.018063,,0,0,today,1529645952000,,,0,0,0,,,开发/测试/运维类,数据开发,0,3号线,大石,2018-06-19
76433,广发银行股份有限公司信用卡中心,0,1号线_体育西路;3号线_珠江新城;3号线_体育西路;3号线(北延段)_体育西路;5号线_五羊邨;5号线_珠江新城;5号线_猎德;APM线_海心沙;APM线_大剧院;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南,广发信用卡中心,4586962,金融,硕士,3-5年,广州,"金融科技,重点项目,带团队",2018-06-22 18:14:49,30k-60k,机器学习资深专家,2000人以上,不需要融资,i/image/M00/93/5B/CgqKkViZi2uAaEVqAAEYVIrGiWU065.png,全职,1,"技能培训,年底双薪,带薪年假,绩效奖金",8264567,0,天河区,"高级,深度学习,NLP,人工智能",,,113.32312,23.121089,"早九晚六,带薪病假,地铁周边",0,0,disabled,1529652340000,,,0,0,0,,,开发/测试/运维类,数据开发,0,APM线,妇儿中心,1天前发布
1531,广州荔支网络技术有限公司,0,4号线_车陂;4号线_车陂南;5号线_科韵路;5号线_车陂南,荔枝,3899132,移动互联网,硕士,1-3年,广州,亿量级用户产品等你来发挥！绩效奖金丰厚！,2018-06-22 09:50:46,15k-30k,机器学习工程师,150-500人,D轮及以上,i/image3/M00/2A/36/CgpOIFqdB3uAS2AiAAAOySQ5lxw214.jpg,全职,1,"绩效奖金,专项奖金,带薪年假,弹性工作",10257,0,天河区,"算法,深度学习",,"棠下,天园,车陂",113.38326,23.11811001,,100,1,today,1529662888000,,,0,0,0,,,开发/测试/运维类,数据开发,0,4号线,车陂南,1天前发布
173918,中兴软创科技股份有限公司,0,2号线_会江,中兴软创,4417289,"移动互联网,企业服务",本科,3-5年,广州,"周末双休,绩效奖金,福利齐全,技术氛围好",2018-06-22 11:14:43,15k-30k,机器学习工程师,2000人以上,上市公司,i/image3/M00/46/B2/Cgq2xlrDK5-AK4Y7AABNyX6hENs069.jpg,全职,0,,9697674,0,番禺区,"视频,算法,深度学习","视频,算法,深度学习",大石,113.28712,23.015551,,100,0,today,1529664134000,,,0,0,0,,,开发/测试/运维类,数据开发,0,2号线,会江,1天前发布
142381,广州市派客朴食信息科技有限责任公司,0,,派客朴食,4633841,"移动互联网,电子商务",本科,1-3年,广州,"绩效提成,节假日福利,五险一金,奖金",2018-05-28 09:53:55,10k-20k,机器学习/计算机视觉,15-50人,不需要融资,i/image/M00/4E/B7/CgqKkVesLn2AHSzDAAAbnhRqEns883.jpg,全职,1,,5683095,0,海珠区,"视频,算法,深度学习,人工智能","视频,算法,深度学习,人工智能",,0.0,0.0,,42,2,today,1529636581000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,2018-05-28
20999,广州极飞科技有限公司,0,,XAIRCRAFT极飞无人机,4068001,移动互联网,本科,1-3年,广州,"周末双休,带薪年假,每日下午茶,五险一金",2018-06-22 20:11:03,10k-20k,机器学习算法工程师,500-2000人,B轮,i/image/M00/8F/3C/CgpFT1sHjHGAGNxqAAARpvufdSw248.jpg,全职,1,"五险一金,双休,股票期权,带薪年假",240547,0,天河区,深度学习,,,113.41656100000002,23.172419,每月餐补,64,1,today,1529669321000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,1天前发布
224798,广州一尚门百货有限公司,0,,一尚门,4727209,生活服务,本科,3-5年,广州,"大平台,风口行业,创新工程,李开复",2018-06-19 00:18:08,15k-30k,机器学习平台研发工程师,50-150人,未融资,i/image/M00/42/79/CgpFT1ldqdWAHS2tAAA5Mwr5JZs038.jpg,全职,0,,8387095,0,黄埔区,"云计算,高级,算法,深度学习,Java","云计算,高级,算法,深度学习,Java",,113.432284,23.162064,,0,0,today,1529662224000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,2018-06-19
188507,广州虎牙信息科技有限公司,0,,虎牙信息,4721246,"社交网络,游戏",本科,3-5年,广州,"发展空间大,工作氛围好,精英团队,团队大牛多",2018-06-13 15:51:09,25k-40k,机器学习工程开发高级工程师,500-2000人,B轮,i/image3/M00/26/82/CgpOIFqYuLWALKzWAAFLawjv7b8596.jpg,全职,1,"五险一金,年底双薪,午餐补助,带薪年假",8677173,0,番禺区,算法,,,39.89744500000001,116.331398,,62,0,today,1529664437000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,2018-06-13
113697,零氪信息技术（北京）有限公司,0,4号线_黄阁,LinkDoc,3809370,"医疗健康,数据服务",硕士,应届毕业生,广州,"15薪,​六险一金,零食水果,不打卡",2018-06-21 10:54:40,14k-20k,机器学习工程师（广州）,150-500人,C轮,i/image/M00/14/EA/CgqKkVbqZuiAaXaMAACL_mOdkj8983.JPG,全职,0,"年底双薪,年终分红,带薪年假,定期体检",2146709,0,南沙区,"算法,图像处理,数据挖掘,深度学习,人工智能",,,113.515206,22.821335,,60,3,today,1529643375000,,,0,0,0,,,开发/测试/运维类,数据开发,1,4号线,黄阁,2天前发布
25419,广发证券股份有限公司,0,5号线_猎德;5号线_潭村,广发证券,4096208,金融,本科,3-5年,广州,"环境好,牛人多,季度奖,年终奖",2018-06-20 14:31:08,25k-45k,机器学习算法工程师(广州),2000人以上,上市公司,image1/M00/2D/2A/Cgo8PFV3376AT6VGAAAgZejt_pE908.png,全职,1,"绩效奖金,岗位晋升,领导好,扁平管理",6435818,0,天河区,"金融,深度学习","金融,深度学习","跑马场,珠江新城,猎德",113.342831,23.118145,,34,0,today,1529647906000,,,0,0,0,,,开发/测试/运维类,数据开发,0,5号线,潭村,3天前发布
992,广州太平洋电脑信息咨询有限公司,0,,太平洋网络有限公司,4535613,"电子商务,生活服务",本科,不限,广州,上市公司,2018-06-22 09:20:58,10k-15k,web开发工程师（机器学习方向）,500-2000人,上市公司,image1/M00/00/05/CgYXBlTUWACAEirfAABRQiJOrU4446.jpg,全职,1,"年底双薪,绩效奖金,五险一金,带薪年假",8849360,0,天河区,"算法,深度学习",,,113.414753,23.175264,,68,2,today,1529685994000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,1天前发布
314386,北京易思易度科技有限公司广州分公司,0,8号线_沙园;广佛线_沙园;广佛线_沙涌,Edison Inc,4051225,"移动互联网,数据服务",本科,1-3年,广州,"BAT薪酬,硅谷B轮,有期权,氛围好",2018-06-20 17:02:22,15k-25k,机器学习工程师 [深度学习方向],50-150人,B轮,i/image3/M00/05/29/CgpOIFpe3dmAYyr3AABUSazmuYs605.png,全职,0,"股票期权,带薪年假,定期体检,绩效奖金",9717374,0,海珠区,"NLP,人工智能,数据挖掘",,龙凤,113.250826,23.095789,,63,1,threeDays,1529511494000,,,0,0,0,,,开发/测试/运维类,数据开发,0,8号线,沙园,3天前发布
49579,广州华多网络科技有限公司,0,,欢聚时代（YY Inc）,3613087,移动互联网,硕士,3-5年,广州,发展空间大、上市公司,2018-06-20 11:22:29,20k-28k,资深图像算法专家（机器学习方向）(003693),2000人以上,上市公司,i/image/M00/2D/10/Cgp3O1c63zuAf_t2AAD_Jmuj70M422.jpg,全职,1,"技能培训,节日礼物,无息贷款,绩效奖金",1676595,0,番禺区,深度学习,,,39.89744500000001,116.331398,,100,1,today,1529688433000,,,0,0,0,,,开发/测试/运维类,数据开发,0,,,3天前发布
